sep=\t	Library Name	Location Name	Call # Begin	Call # End	Image file				
!	Milner								
!!		UHigh Graphic Novels							
!!		UHigh Nonbook							
!!		UHigh Professional							
!!		UHigh Reference: Library Use Only							
!!		UHigh Reserve Desk: Library Use Only							
!!		UHigh Shelves							
!!		Univ High School Circ Desk							
!!		Univ. Archives--Warehouse Road: Building Use Only							
!!		Zimmerman Library, Metcalf School Easy							
!!		Zimmerman Library, Metcalf School Fiction							
!!		Zimmerman Library, Metcalf School Nonbook							
!!		Zimmerman Library, Metcalf School Nonfiction							
!!		Zimmerman Library, Metcalf School Professional							
!!		Zimmerman Library, Metcalf School Reference							
!!		Zimmerman Library, Metcalf School Storage							
!!		Bibliographic Services Division: Staff Use Only							
									
OUTDATED LOCATIONS									
!!		Storage Williams Documents: Request at Circulation Desk							
!!		Storage Williams: Request Online							
!!		.ISU Main Circulation Desk							
!!		Contact Circulation Desk							
!!		Floor 4 Desk							
!!		Floor 4 Desk: Building Use Only							
!!		Floor 4 Reference: Building Use Only							
!!		FL 6 Media Resource Center Cabinet: Building Use Only							
!!		New Items - On Order							
!!		Floor 1 Reference: Building Use Only							
!!		Floor 1 Shelves							
!!		Floor 1 Teaching Materials Center Curriculum Guides							
!!		Floor 2 Documents Microform Index Area							
!!		Floor 2 Documents Reference: Building Use Only							
!!		Floor 6 Learning Resource Center							
!!		Floor 6 Learning Resources Center							
!!		Floor 6 Learning Resources Center Reserve: Building Use Only							
!!		Floor 6 Learning Resources Center: Building Use Only							
!!		Floor 5 Desk							
!!		Floor 5 Desk: Building Use Only							
!!		Floor 5 Reference: Building Use Only							
!!		Floor 6 Workroom: Building Use Only							
									
									
									
									
									
									
									
